Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
186004,Stein on Writing: A Master Editor of Some of the Most Successful Writers of Our Century Shares His Craft Techniques and Strategies,Sol Stein,"Stein, Sol",,"=""0312254210""","=""9780312254216""",5,4.27,St. Martin's Griffin,Paperback,320,2000,1995,,2020/09/04,,,read,,,,1,,,0,,,,,,",2020-01-01","Language,Writing|651;Nonfiction|200;Reference|30;Audiobook|17;Self Help|12;Art,Crafts|11;How To|8;Education|5;Humanities,Language|4;Writing,Books About Books|4"
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",4,4.06,Tor Books,Hardcover,399,2014,2006,,2020/09/01,,,read,,,,1,,,0,,,,,,",2020-09-01","Science Fiction|5318;Fiction|3144;Cultural,China|575;Science Fiction Fantasy|385;Audiobook|305;Fantasy|295;Science Fiction,Aliens|201;Novels|186;Speculative Fiction|171;Cultural,Asia|165"
31939308,Write No Matter What: Advice for Academics,Joli Jensen,"Jensen, Joli",,"=""022646170X""","=""9780226461700""",0,4.43,University of Chicago Press,Paperback,166,2017,2017,,2020/08/29,to-read,to-read (#32),to-read,,,,0,,,0,,,,,,,"Language,Writing|49;Nonfiction|14;Academic,Academia|7;Education|5;Self Help|5;Productivity|4;Reference,Research|4;Science|3;How To|3;Academic|2"
24,In a Sunburned Country,Bill Bryson,"Bryson, Bill",,"=""0767903862""","=""9780767903868""",5,4.06,Broadway Books,Paperback,335,2001,2000,,2020/08/29,,,read,"If you like fear and loathing in las vegas, you'll probably love this.",,,1,,,0,,,,,,",2020-08-29","Travel|2994;Nonfiction|2578;Humor|697;Cultural,Australia|563;Autobiography,Memoir|347;Audiobook|190;History|171;Adventure|120;Biography|89;Travel,Travelogue|78"
44767248,Human Compatible: Artificial Intelligence and the Problem of Control,Stuart Russell,"Russell, Stuart",,"=""0525558616""","=""9780525558613""",5,4.18,Viking,Hardcover,352,2019,2019,2020/08/28,2020/08/28,,,read,,,,2,,,0,,,,,,",2020-08-28","Nonfiction|149;Science|132;Artificial Intelligence|95;Science,Technology|69;Philosophy|59;Science,Computer Science|18;Computer Science,Computers|8;Audiobook|7;Business|7;Politics|6"
77507,"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0553560735""","=""9780553560732""",4,3.86,Spectra Books,Mass Market Paperback,572,1993,1992,2020/08/23,2020/08/15,,,read,,,,1,,,0,,,,,,",2020-08-23","Science Fiction|2913;Fiction|1102;Science Fiction Fantasy|181;Space|124;Fantasy|86;Speculative Fiction|80;Space,Space Opera|76;Audiobook|66;Science Fiction,Hard Science Fiction|62;Novels|57"
51704136,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0143135163""","=""9780143135166""",3,4.09,Penguin Books,Paperback,368,2020,2017,,2020/08/15,,,read,,,,1,,,0,,,,,,"2020-08-15,2020-08-15",Fiction|9026;Contemporary|2935;Audiobook|1340;Adult|999;Adult Fiction|766;Literary Fiction|753;Book Club|623;Novels|466;Family|418;Realistic Fiction|354
310612,A Confederacy of Dunces,John Kennedy Toole,"Toole, John Kennedy",Walker Percy,"=""0802130208""","=""9780802130204""",4,3.88,Grove Press,Paperback,394,1994,1980,2020/07/20,2020/03/03,,,read,,,,1,,,0,,,,,,",2020-07-20","Fiction|4949;Classics|1754;Humor|1391;Literature|468;Humor,Comedy|405;Novels|387;Literature,American|283;Literary Fiction|206;Audiobook|169;Contemporary|157"
867247,A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,"Musashi, Miyamoto",Victor Harris,"=""0517415283""","=""9780517415283""",3,4.04,Gramercy,Hardcover,192,1974,1645,2020/07/18,2020/07/18,,,read,,,,2,,,0,,,,,,",2020-07-18","Philosophy|1078;Nonfiction|721;Classics|408;History|317;Combat,Martial Arts|306;Cultural,Japan|262;Business|196;War|142;War,Military Fiction|112;Asian Literature,Japanese Literature|101"
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",5,4.19,Signet,Mass Market Paperback,325,1963,1962,2020/07/15,2016/01/04,,,read,,,,1,,,0,,,,,,",2020-07-15","Classics|9515;Fiction|7537;Psychology|843;Literature|843;Novels|654;Health,Mental Health|460;Academic,School|444;Literature,American|396;Mental Health,Mental Illness|362;Contemporary|345"
40265832,How to Be an Antiracist,Ibram X. Kendi,"Kendi, Ibram X.",,"=""0525509283""","=""9780525509288""",5,4.38,One World,Hardcover,320,2019,2019,2020/06/13,2020/06/13,,,read,,,,1,,,0,,,,,,",2020-06-13","Nonfiction|3838;Race|1202;Race,Anti Racist|752;Social Movements,Social Justice|713;Politics|594;Audiobook|555;History|446;Autobiography,Memoir|309;Sociology|228;Cultural,African American|152"
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618260307""","=""9780618260300""",4,4.28,Houghton Mifflin,Paperback,366,2002,1937,2020/07/17,2020/07/17,,,read,,,,1,,,0,,,,,,",2020-07-17","Classics|18051;Fiction|15294;Adventure|3328;Young Adult|2890;Science Fiction Fantasy|1802;Fantasy,High Fantasy|1564;Childrens|1400;Fantasy,Epic Fantasy|1227;Novels|1204;Fantasy,Dragons|1121"
